packets_received,bytes_received,packets_transmitted,bytes_transmitted,traffic_type,i_src_host,i_dst_host
1150.0,1143412.0,1150.0,1143412.0,2,h3,h1
746.0,1113252.0,746.0,1113252.0,2,h2,h10
70.0,6300.0,70.0,6300.0,1,h1,h10
754.0,1114612.0,754.0,1114612.0,2,h4,h3
746.0,1113252.0,746.0,1113252.0,2,h9,h2
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h7,h10
746.0,1113252.0,746.0,1113252.0,2,h1,h2
70.0,6300.0,70.0,6300.0,1,h3,h2
643639.0,20333998080.0,643639.0,20333998080.0,3,iot1,h7
70.0,6300.0,70.0,6300.0,1,h3,h7
70.0,6300.0,70.0,6300.0,1,h1,h5
808754.0,25736151040.0,808754.0,25736151040.0,3,h8,h5
0.0,0.0,0.0,0.0,0,0,0
720010.0,22504873984.0,720010.0,22504873984.0,3,h5,h2
754.0,1114612.0,754.0,1114612.0,2,h4,iot1
746.0,1113252.0,746.0,1113252.0,2,h9,h5
70.0,6300.0,70.0,6300.0,1,h9,h10
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h3,h1
746.0,1113252.0,746.0,1113252.0,2,h6,h10
721976.0,22176798720.0,721976.0,22176798720.0,3,h3,h1
617508.0,18726641664.0,617508.0,18726641664.0,3,h3,h6
0.0,0.0,0.0,0.0,0,0,0
746.0,1113252.0,746.0,1113252.0,2,h8,h1
734368.0,22788935680.0,734368.0,22788935680.0,3,h7,h10
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h2,h5
769178.0,24740536320.0,769178.0,24740536320.0,3,h4,h2
0.0,0.0,0.0,0.0,0,0,0
63.0,5670.0,63.0,5670.0,1,h2,h3
70.0,6300.0,70.0,6300.0,1,h7,iot1
70.0,6300.0,70.0,6300.0,1,h5,h2
80.0,6720.0,80.0,6720.0,1,h1,h10
70.0,6300.0,70.0,6300.0,1,h10,h9
758816.0,23370412032.0,758816.0,23370412032.0,3,h9,h2
754.0,1114612.0,754.0,1114612.0,2,h5,h6
70.0,6300.0,70.0,6300.0,1,h8,h10
